review_id,review_text,sentiment,review_text
5018cc3f-8f45-48b0-b8b6-20cc279cdacb,"I can't believe how horrible this flight was. The WiFi speed was a mess, and the air conditioning was unacceptable.",negative,"I can't believe how horrible this flight was. The WiFi speed was a mess, and the air conditioning was unacceptable."
2830726b-63d9-403f-b765-74ad6266e9d5,Avoid this airline! The poor was turbulence handling and the security was a nightmare.,negative,Avoid this airline! The poor was turbulence handling and the security was a nightmare.
a4d09215-d725-4915-b2c2-14b034e3ebb5,Do yourself a favor and fly elsewhere. The disastrous was bathroom cleanliness and the aircraft cleanliness was the worst.,negative,Do yourself a favor and fly elsewhere. The disastrous was bathroom cleanliness and the aircraft cleanliness was the worst.
fe9863f5-1061-4454-abb1-a315d9ff4dd3,"I regret booking with this airline. The frustrating was so punctuality, and the crew friendliness made it worse.",negative,"I regret booking with this airline. The frustrating was so punctuality, and the crew friendliness made it worse."
c1227bb7-b777-46d8-94fa-4f041b228796,Never flying with them again! The terrible was completely baggage handling and the legroom was miserable.,negative,Never flying with them again! The terrible was completely baggage handling and the legroom was miserable.
67e6115a-ab13-4bd9-a26d-ff27153b571a,It was a disaster! The nightmarish was snack options and the legroom was simply awful.,negative,It was a disaster! The nightmarish was snack options and the legroom was simply awful.
5c5541dd-4384-43c1-9671-b0cb1704a522,"The flight was completely poor. The check-in process was awful, and the security was unacceptable.",negative,"The flight was completely poor. The check-in process was awful, and the security was unacceptable."
0fd73f81-048e-46bb-af35-0eff6534d9a5,It was a disaster! The disastrous was bathroom cleanliness and the legroom was simply awful.,negative,It was a disaster! The disastrous was bathroom cleanliness and the legroom was simply awful.
860211c4-4a3a-4d20-ad9c-4fa40a0194d6,A huge disappointment. The nightmarish was baggage handling and the in-flight announcements was below standard.,negative,A huge disappointment. The nightmarish was baggage handling and the in-flight announcements was below standard.
2f95ab46-e8e1-4eb7-9e2b-be5acd1be195,"I can't believe how disastrous this flight was. The turbulence handling was a mess, and the customer service was unacceptable.",negative,"I can't believe how disastrous this flight was. The turbulence handling was a mess, and the customer service was unacceptable."
7c926392-5aef-4d01-98ec-41cd603a7b23,"Had high hopes, but the frustrating was security and the air conditioning was disappointing.",negative,"Had high hopes, but the frustrating was security and the air conditioning was disappointing."
3359ebe8-eb25-4d8f-a555-8ed2634bd00d,Never flying with them again! The terrible was completely aircraft cleanliness and the security was miserable.,negative,Never flying with them again! The terrible was completely aircraft cleanliness and the security was miserable.
14499240-53af-4e26-b882-39cb94e4d45e,"Had high hopes, but the nightmarish was WiFi speed and the customer service was disappointing.",negative,"Had high hopes, but the nightmarish was WiFi speed and the customer service was disappointing."
b174d365-12f6-4126-a8f6-68bb21780f05,"I can't believe how nightmarish this flight was. The air conditioning was a mess, and the security was unacceptable.",negative,"I can't believe how nightmarish this flight was. The air conditioning was a mess, and the security was unacceptable."
bd4ca6b0-ce7b-496c-a42e-73c217309672,Avoid this airline! The awful was punctuality and the WiFi speed was a nightmare.,negative,Avoid this airline! The awful was punctuality and the WiFi speed was a nightmare.
5f4d5ae8-5e43-4e11-bc96-3496582df361,Never flying with them again! The awful was completely in-flight announcements and the snack options was miserable.,negative,Never flying with them again! The awful was completely in-flight announcements and the snack options was miserable.
69f205b4-99fd-4c56-8003-6e429d77638e,"The flight was completely awful. The customer service was awful, and the security was unacceptable.",negative,"The flight was completely awful. The customer service was awful, and the security was unacceptable."
55a40458-9510-4534-9804-9be5c1c8bcf2,It was a disaster! The terrible was crew friendliness and the WiFi speed was simply awful.,negative,It was a disaster! The terrible was crew friendliness and the WiFi speed was simply awful.
214686c8-a394-4824-a65a-a599da23444d,A huge disappointment. The uncomfortable was overhead storage and the punctuality was below standard.,negative,A huge disappointment. The uncomfortable was overhead storage and the punctuality was below standard.
